"partid","R","H","CV"
65050501,0.48,0.78,0.2
65050601,0.42,0.78,0.32
65050701,0.52,0.56,0.46
65050801,0.5,0.82,0.36
65050901,0.48,0.72,0.38
65051001,0.58,0.78,0.28
65051101,0.4,0.8,0.44
65051201,0.34,0.68,0.36
65051301,0.48,0.8,0.38
65051401,0.56,0.7,0.52
65051501,0.6,0.6,0.34
65051601,0.4,0.64,0.5
65051701,0.42,0.8,0.3
65051901,0.48,0.88,0.3
65052001,0.54,0.78,0.32
65052101,0.52,0.8,0.28
65052201,0.44,0.64,0.46
65052301,0.4,0.76,0.36
65052401,0.36,0.58,0.58
65052501,0.42,0.6,0.54
65052601,0.44,0.68,0.4
65052701,0.5,0.74,0.38
65052801,0.4,0.76,0.4
65052901,0.42,0.66,0.5
65053001,0.46,0.84,0.34
65053101,0.56,0.76,0.46
65053201,0.46,0.92,0.28
65053301,0.5,0.94,0.32
65053401,0.44,0.72,0.5
65053501,0.42,0.86,0.3
65053601,0.4,0.82,0.36
65053701,0.34,0.66,0.52
65053801,0.52,0.8,0.34
65053901,0.52,0.7,0.48
65054001,0.48,0.76,0.5
65054101,0.52,0.9,0.34
65054201,0.46,0.84,0.36
65054301,0.3,0.72,0.4
65054401,0.46,0.7,0.4
65054501,0.46,0.66,0.44
65054601,0.34,0.64,0.56
65054701,0.42,0.78,0.3
65054801,0.46,0.82,0.44
65054901,0.44,0.8,0.28
65055001,0.46,0.92,0.28
65055101,0.46,0.8,0.44
65055201,0.64,0.64,0.3
65055401,0.52,0.8,0.28
65055501,0.52,0.66,0.46
65055601,0.38,0.72,0.44
65055701,0.46,0.66,0.54
65055801,0.42,0.76,0.4
65055901,0.44,0.9,0.3
65056101,0.44,0.78,0.26
65056201,0.4,0.84,0.36
65056301,0.52,0.82,0.34
65056401,0.42,0.56,0.52
65056501,0.5,0.72,0.38
65056601,0.58,0.82,0.42
65056701,0.42,0.86,0.36
65056801,0.44,0.72,0.44
65056901,0.58,0.44,0.68
65057101,0.56,0.86,0.38
65057301,0.5,0.5,0.62
65057401,0.5,0.58,0.46
65057501,0.4,0.72,0.4
65057601,0.56,0.76,0.32
65057801,0.52,0.68,0.46
65057901,0.44,0.68,0.44
65058001,0.38,0.54,0.4
65058201,0.54,0.88,0.32
65058401,0.46,0.92,0.24
65058501,0.5,0.54,0.56
65058601,0.6,0.72,0.34
65058701,0.5,0.72,0.42
65058901,0.46,0.78,0.28
65059001,0.64,0.64,0.44
65059101,0.46,0.88,0.4
65059201,0.4,0.82,0.3
65059301,0.62,0.72,0.36
65059401,0.56,0.64,0.48
65059501,0.5,0.86,0.34
65059601,0.46,0.74,0.4
65059801,0.46,0.82,0.38
65059901,0.44,0.88,0.28
65060001,0.4,0.78,0.34
65060101,0.38,0.82,0.34
65060201,0.5,0.72,0.42
65060301,0.5,0.86,0.34
65060401,0.44,0.78,0.34
