"vps","partid","CheckVps","R","CheckHolt","SwitchAll","SwitchH","SwitchL","SwitchLH","SwitchLL","SwitchGH","SwitchGL","SwitchPH","SwitchPL","R_all","CheckGamb","swp","MPLr"
985,65057101,0,5,0,3.3333333,3.3333333,3.3333333,-10,0,10,5,10,5,0.75,0,6,4
987,65057301,0,5,2,17.083333,22.5,11.666667,5,5,32.5,20,30,10,0.44642857,3,1,9
989,65057401,0,6,0,2.5,3.3333333,1.6666667,0,0,5,5,5,0,0.76785714,0,5,5
990,65057501,0,4,0,15,21.666667,8.3333333,15,5,30,15,20,5,0.5,0,7,3
992,65057601,0,3,0,15,23.333333,6.6666667,10,5,40,5,20,10,0.5,0,8,2
993,65057801,0,7,0,10,13.333333,6.6666667,5,0,10,10,25,10,0.60714286,0,4,6
995,65057901,0,4,0,4.1666667,3.3333333,5,5,0,-10,5,15,10,0.73214286,2,7,3
997,65058001,0,5,0,15.833333,20,11.666667,10,5,35,20,15,10,0.48214286,0,6,4
998,65058201,0,6,0,2.5,5,0,5,0,5,0,5,0,0.76785714,0,5,5
1000,65058401,0,4,0,14.166667,18.333333,10,10,5,25,15,20,10,0.51785714,0,7,3
1002,65058501,0,7,0,0.83333333,0,1.6666667,5,-5,5,5,-10,5,0.78571429,0,4,6
1003,65058601,0,6,2,14.166667,18.333333,10,10,5,25,15,20,10,0.51785714,0,4,6
1004,65058701,0,6,0,1.6666667,1.6666667,1.6666667,0,0,0,0,5,5,0.78571429,0,5,5
1006,65058901,0,3,0,12.5,15,10,5,5,15,15,25,10,0.55357143,0,8,2
1007,65059001,0,4,0,13.333333,20,6.6666667,10,5,25,10,25,5,0.53571429,0,7,3
1008,65059101,0,3,0,33.333333,43.333333,23.333333,15,5,70,45,45,20,0.10714286,0,8,2
1009,65059201,0,3,0,0.83333333,1.6666667,0,0,0,0,0,5,0,0.80357143,0,8,2
1011,65059301,0,3,0,13.333333,18.333333,8.3333333,15,5,25,15,15,5,0.53571429,0,8,2
1012,65059401,0,3,0,25.833333,35,16.666667,15,5,45,25,45,20,0.26785714,0,8,2
1013,65059501,0,2,0,7.5,11.666667,3.3333333,5,-5,10,10,20,5,0.66071429,0,9,1
1014,65059601,0,6,0,10,15,5,10,0,20,10,15,5,0.60714286,0,5,5
1015,65059801,0,4,0,23.333333,31.666667,15,10,5,45,30,40,10,0.32142857,0,7,3
1016,65059901,0,6,0,5.8333333,6.6666667,5,5,5,5,5,10,5,0.69642857,0,5,5
1017,65060001,0,5,2,9.5833333,11.666667,7.5,0,0,15,12.5,20,10,0.60714286,3,5,5
1018,65060101,0,4,0,20,26.666667,13.333333,15,5,40,25,25,10,0.39285714,0,7,3
1019,65060201,0,5,2,5.8333333,8.3333333,3.3333333,-10,5,25,0,10,5,0.69642857,0,4,6
1020,65060301,0,6,0,-2.5,-1.6666667,-3.3333333,0,-5,-5,-5,0,0,0.875,0,5,5
1021,65060401,0,5,0,12.5,16.666667,8.3333333,10,0,20,15,20,10,0.55357143,0,6,4
1022,65060501,0,4,0,20,28.333333,11.666667,20,5,40,25,25,5,0.39285714,0,7,3
1023,65060601,0,4,0,11.666667,16.666667,6.6666667,10,0,20,10,20,10,0.57142857,0,7,3
1024,65060701,0,4,0,19.166667,25,13.333333,15,5,40,25,20,10,0.41071429,0,7,3
1025,65060801,0,4,0,20,25,15,10,5,40,30,25,10,0.39285714,0,7,3
1026,65060901,0,6,0,-7.5,-6.6666667,-8.3333333,0,-5,-10,-10,-10,-10,0.94642857,2,5,5
1027,65061001,0,5,0,14.166667,16.666667,11.666667,5,0,15,20,30,15,0.51785714,0,6,4
1028,65061101,0,3,0,11.666667,16.666667,6.6666667,5,5,25,5,20,10,0.57142857,0,8,2
1029,65061201,0,4,0,7.5,11.666667,3.3333333,10,5,10,5,15,0,0.66071429,0,7,3
1030,65061301,0,5,0,8.3333333,13.333333,3.3333333,-10,-10,35,15,15,5,0.64285714,0,6,4
1031,65061401,0,4,0,25,35,15,15,5,70,30,20,10,0.28571429,0,7,3
1032,65061501,0,3,0,10,15,5,10,0,20,5,15,10,0.60714286,0,8,2
1033,65061601,0,5,0,20,26.666667,13.333333,10,0,40,25,30,15,0.39285714,0,6,4
1034,65061701,0,3,0,10,13.333333,6.6666667,10,5,15,10,15,5,0.60714286,0,8,2
1035,65061801,0,5,0,7.5,11.666667,3.3333333,10,0,20,10,5,0,0.66071429,0,6,4
1036,65061901,0,6,0,14.166667,18.333333,10,15,5,25,25,15,0,0.51785714,0,5,5
1037,65062001,0,10,0,0.83333333,-3.3333333,5,0,0,0,-10,-10,25,0.78571429,2,1,9
1038,65062101,0,3,0,13.333333,18.333333,8.3333333,15,5,15,10,25,10,0.53571429,0,8,2
1039,65062201,0,5,0,16.666667,25,8.3333333,10,5,40,10,25,10,0.46428571,0,6,4
1040,65062301,0,3,0,20.833333,28.333333,13.333333,10,5,50,20,25,15,0.375,0,8,2
1041,65062401,0,4,0,4.1666667,5,3.3333333,10,5,5,5,0,0,0.73214286,0,7,3
1042,65062501,0,4,0,15,20,10,15,0,15,20,30,10,0.5,0,7,3
1043,65062601,0,5,0,20,30,10,20,5,40,15,30,10,0.39285714,0,6,4
1044,65062701,0,6,0,15.833333,21.666667,10,10,5,25,10,30,15,0.48214286,3,5,5
1045,65062801,0,0,1,12.5,15,10,5,5,25,15,15,10,0.55357143,1,NA,NA
1046,65062901,0,5,0,16.666667,23.333333,10,10,0,50,20,10,10,0.46428571,0,6,4
1047,65063001,0,7,0,10,16.666667,3.3333333,10,0,25,5,15,5,0.60714286,0,4,6
1048,65063101,0,5,0,7.5,10,5,15,0,15,10,0,5,0.66071429,0,6,4
1049,65063201,0,5,0,13.75,22.5,5,10,0,37.5,0,20,15,0.46428571,3,6,4
1050,65063301,0,2,0,25,35.833333,14.166667,20,5,47.5,27.5,40,10,0.32142857,3,9,1
1051,65063401,0,4,0,22.5,33.333333,11.666667,15,0,70,25,15,10,0.33928571,0,7,3
1052,65063501,0,7,0,5,5,5,5,5,0,5,10,5,0.71428571,0,4,6
1053,65063601,0,5,0,0.83333333,0,1.6666667,-10,-10,10,15,0,0,0.80357143,0,6,4
1054,65063701,0,5,0,15.833333,20,11.666667,10,5,25,20,25,10,0.48214286,0,6,4
1055,65063801,0,7,0,2.5,3.3333333,1.6666667,0,0,5,5,5,0,0.76785714,0,4,6
1056,65063901,0,4,0,17.5,20,15,10,0,20,30,30,15,0.44642857,3,7,3
1057,65064001,0,4,0,19.166667,23.333333,15,10,0,40,30,20,15,0.41071429,0,7,3
1058,65064101,0,6,0,19.166667,26.666667,11.666667,10,15,45,10,25,10,0.375,1,5,5
1059,65064201,0,4,0,0,0,0,0,0,0,0,0,0,0.82142857,0,7,3
1060,65064301,0,4,0,3.75,5,2.5,-10,0,0,0,25,7.5,0.76785714,3,7,3
1061,65064401,0,6,2,5.8333333,6.6666667,5,5,0,5,5,10,10,0.71428571,3,2,8
1062,65064501,0,3,0,31.666667,41.666667,21.666667,20,5,70,45,35,15,0.14285714,0,8,2
1063,65064601,0,3,0,-0.83333333,-3.3333333,1.6666667,0,0,-10,5,0,0,0.83928571,2,8,2
1064,65064701,0,6,0,5.4166667,14.166667,-3.3333333,5,0,37.5,-10,0,0,0.64285714,3,5,5
