bibkey,paper,task,subject,age,gender,choice,r,country
Amador2021,Amador Hidalgo et al. 2021,HL,38,20,1,4,0.4192396425176412,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,39,18,0,5,0.6884838867187499,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,40,18,1,5,0.7618139557586983,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,42,22,0,2,-0.04979854959994551,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,43,18,0,4,0.5452319862484001,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,44,29,0,2,-0.22419080602005123,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,45,18,0,7,1.4497211468266322,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,47,18,1,10,2.71,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,49,18,1,10,2.71,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,50,18,1,4,0.3868908360088244,Spain
Amador2021,Amador Hidalgo et al. 2021,HL,52,21,0,4,0.4007852757070214,Spain
