bibkey,paper,task,subject,choice,r,city,tablet_id,age,gender,country,latitude,longitude
Dannenberg2022,Dannenberg et al. 2022,IG,180,410,0.448081654221254,Chabula,18,24,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,181,879,0.8684241191767997,Chabula,1,50,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,182,502,0.6335978764858422,Chabula,2,39,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,183,461,0.5697045924536773,Chabula,3,50,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,184,484,0.6080911862425495,Chabula,4,36,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,185,404,0.4287506054887194,Chabula,5,52,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,186,505,0.6375286857174662,Chabula,6,27,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,187,374,0.3051365919194157,Chabula,7,47,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,188,326,-0.08914147492780614,Chabula,8,32,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,189,228,4.3502139162281885,Chabula,9,49,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,190,500,0.6309297535714572,Chabula,10,39,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,191,615,0.7412460884482107,Chabula,11,30,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,192,466,0.5786946901724638,Chabula,12,22,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,193,502,0.6335978764858422,Chabula,13,30,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,194,484,0.6080911862425495,Chabula,14,28,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,195,742,0.8118493077517529,Chabula,15,27,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,196,454,0.5564278337379125,Chabula,16,23,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,197,722,0.8025027344552407,Chabula,17,29,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,198,407,0.4385936550227538,Chabula,18,39,0,Tanzania,-2.47532,33.15021
Dannenberg2022,Dannenberg et al. 2022,IG,199,407,0.4385936550227538,Bugabu,1,52,0,Tanzania,-2.53212,33.39738
Dannenberg2022,Dannenberg et al. 2022,IG,200,288,-1.0954826064786127,Bugabu,2,60,0,Tanzania,-2.53212,33.39738
Dannenberg2022,Dannenberg et al. 2022,IG,201,733,0.8077005864167299,Bugabu,3,48,0,Tanzania,-2.53212,33.39738
Dannenberg2022,Dannenberg et al. 2022,IG,202,870,0.8648256362765823,Bugabu,4,44,0,Tanzania,-2.53212,33.39738
Dannenberg2022,Dannenberg et al. 2022,IG,203,653,0.7657441840297691,Bugabu,5,46,0,Tanzania,-2.53212,33.39738
Dannenberg2022,Dannenberg et al. 2022,IG,204,888,0.8720561021271379,Bugabu,6,50,1,Tanzania,-2.53212,33.39738
