"partid","CCTncards","CCTacards","CCTratio","CCTaratio","CCTpayoff"
68042401,365,112,0.17886496,0.13408274,37.619048
68042601,385,198,0.18654914,0.27029368,-47.5
68042801,423,195,0.19120792,0.18513515,15.892857
68042901,300,130,0.13285786,0.094296951,86.964286
68043001,514,260,0.23752279,0.26923371,51.904762
68043101,228,105,0.13610993,0.091039707,96.964286
68043201,484,240,0.21857158,0.21961122,43.869048
68043401,256,146,0.12707823,0.12193793,43.095238
68043601,454,191,0.20609449,0.23247474,45.119048
68043701,146,58,0.093663449,0.059365562,29.821429
68043901,321,182,0.15090165,0.15081788,66.607143
68044001,271,153,0.12255553,0.10708197,40.297619
68044101,372,227,0.17844335,0.20727313,63.928571
68044201,297,216,0.14126477,0.15379229,28.630952
68044301,486,229,0.236461,0.35936795,41.369048
68044401,510,133,0.23593864,0.17410353,96.72619
68044501,322,191,0.15210034,0.15703505,42.440476
68044601,360,274,0.15043227,0.15654036,53.511905
68044801,349,43,0.16818604,0.054602851,71.25
68044901,235,176,0.12680245,0.13048769,49.166667
68045001,341,94,0.17542279,0.10111295,75.416667
68045101,564,248,0.25835843,0.31422277,35.77381
68045201,643,82,0.29686454,0.42707506,23.035714
68045301,601,170,0.27509109,0.39003157,13.214286
68045401,331,89,0.14913193,0.078399076,56.964286
68045501,446,297,0.2004059,0.26051905,23.27381
68045701,294,209,0.13306226,0.14509486,29.702381
68045801,214,94,0.098308762,0.066052915,32.5
68045901,444,190,0.19678125,0.22576198,-17.678571
68046001,477,242,0.20281386,0.19443276,45.357143
68046101,306,132,0.15538075,0.12586024,55.059524
68046201,573,264,0.26625626,0.45500849,62.202381
68046301,323,201,0.1335844,0.12139002,-26.607143
68046401,450,185,0.2220505,0.24493882,92.202381
68046501,649,110,0.29772411,0.53064853,-2.9761905
68046601,196,44,0.091570199,0.029601493,54.583333
68046701,254,106,0.13540643,0.096239974,50.892857
68046901,415,200,0.19512123,0.23449848,27.083333
68047001,447,158,0.1927828,0.22178754,-23.035714
68047101,338,156,0.15983478,0.14981475,39.583333
68047201,506,219,0.23862726,0.28743882,70.357143
68047301,257,178,0.13620328,0.14684534,16.071429
68047401,239,103,0.10268916,0.063596048,74.285714
68047501,497,73,0.21080464,0.15493915,-60.595238
68047601,367,185,0.16916614,0.17248083,-9.2261905
68047701,550,283,0.23739513,0.28906084,47.559524
68047901,447,159,0.18187328,0.10976443,31.845238
68048001,512,295,0.24113395,0.43939403,32.02381
68048101,449,230,0.20964268,0.23176811,57.440476
68048201,439,161,0.18987884,0.16653921,23.27381
68048301,408,205,0.18510622,0.19411891,-34.52381
68048401,438,227,0.19440326,0.24473157,0.41666667
68048501,468,215,0.21464501,0.22570941,52.916667
68048601,227,33,0.10604363,0.024434748,55.654762
68048701,423,153,0.1914354,0.17066803,57.797619
68048801,351,193,0.14745914,0.14884557,-7.9166667
68049001,387,193,0.17029037,0.1459209,87.619048
68049101,586,203,0.26696758,0.51721999,11.547619
68049201,649,113,0.28419963,0.24824221,0.23809524
68049301,708,290,0.31989255,0.58776872,57.261905
68049401,342,119,0.1701581,0.12567867,13.154762
68049501,389,272,0.17645473,0.19392262,42.559524
68049701,589,165,0.27135103,0.44431313,-17.916667
68049801,288,151,0.12706012,0.10640425,37.202381
68049901,478,188,0.22804965,0.23866956,84.583333
68050001,479,251,0.21774048,0.25253384,86.547619
68050101,124,26,0.071789046,0.023827431,58.27381
68050201,389,249,0.18719051,0.22262664,57.738095
68050301,551,324,0.22928402,0.27150469,66.428571
68050401,201,125,0.11510728,0.10509906,8.5714286
68050501,300,178,0.15243506,0.17687394,12.559524
68050601,314,206,0.1385936,0.15026005,67.202381
68050701,577,246,0.26270358,0.36660464,57.321429
68050801,315,80,0.15769809,0.076701439,114.22619
68050901,200,54,0.11823325,0.047060837,16.25
68051101,538,110,0.24825453,0.26984408,7.5
68051301,259,108,0.14826556,0.12246384,47.142857
68051401,534,235,0.24515086,0.3108236,76.309524
