enumerator_code,id,education,male,T_R,T_B,T_H,a1,a2,a3,a4,a5,RA,risktime,consistency,RA_all,age,sufficient_money,gamma,pay,school_code
7,434,7,0,0,1,0,0,0,0,0,0,0,5.0875964,1,0,37,1,1,1,3
7,435,2,1,0,1,0,1,0,1,0,1,,4.8675346,0,3,39,1,.5,1,3
9,436,16,1,0,0,1,1,0,1,1,0,,4.7874918,0,3,22,1,.67000002,0,9
4,437,14,1,0,1,0,1,0,0,0,0,1,4.7004805,1,1,29,1,1,1,8
12,438,16,0,0,1,0,1,1,1,1,0,4,5.1929569,1,4,37,1,1,1,2
8,439,16,0,0,0,1,1,1,1,0,0,3,6.1737862,1,3,42,0,1,0,2
8,440,16,0,0,0,1,1,1,1,1,0,4,5.7071104,1,4,34,0,1,0,8
8,441,16,0,1,0,0,1,0,0,0,0,1,4.7791233,1,1,23,0,1,2,8
5,442,7,0,0,1,0,1,1,0,0,0,2,5.3565865,1,2,34,1,1,1,2
11,443,7,0,0,0,1,0,0,0,0,0,0,4.7874918,1,0,27,1,1,0,9
11,444,17,0,1,0,0,1,1,0,0,0,2,4.0943446,1,2,30,1,1,2,2
11,445,10,0,0,0,1,1,1,0,0,0,2,4.0943446,1,2,30,1,1,0,8
4,446,14,0,1,0,0,0,1,0,0,0,,4.9272537,0,1,29,1,.75,2,2
4,447,7,0,0,1,0,1,0,0,0,0,1,4.9698133,1,1,39,1,1,1,6
7,448,13,0,0,1,0,0,0,0,0,0,0,4.7004805,1,0,42,1,1,1,2
4,449,13,0,0,1,0,1,1,1,1,0,4,4.7449322,1,4,33,1,1,1,2
8,450,15,0,1,0,0,1,0,0,0,0,1,4.4659081,1,1,23,1,1,2,8
9,451,7,0,0,0,1,0,0,0,0,0,0,5.480639,1,0,32,1,1,0,12
7,452,7,0,0,0,1,1,1,0,0,1,,4.7791233,0,3,38,1,.67000002,0,2
